Dấu thời gian,1. Giới tính của bạn là gì?,2. Bạn là sinh viên năm mấy?,3. Trường đại học bạn đang theo học là gì?,4. Bạn có sử dụng ChatGPT trong việc học không?,5. Xếp loại học tập của bạn là?,6. Điểm trung bình (hệ 4) của bạn sau khi sử dụng ChatGPT có xu hướng ? [Tăng],6. Điểm trung bình (hệ 4) của bạn sau khi sử dụng ChatGPT có xu hướng ? [Giảm],7. Bạn tự đánh giá về việc sử dụng ChatGPT cho quá trình học?,8. Tần suất bạn sử dụng ChatGPT trong 1 ngày là:,9. Các website hỗ trợ việc tra cứu của bạn ngoài ChatGPT là?,10. Mức độ ưu tiên bạn dành cho việc sử dụng ChatGPT so với các website tra cứu học tập khác là?,11. Mức độ đáng tin cậy của bạn dành cho ChatGPT trong việc cung cấp thông tin học tập là?,12. Hiệu quả của ChatGPT trong giải quyết các câu hỏi và vấn đề học tập của bạn là:,13. Mức độ ảnh hưởng của ChatGPT đến khả năng tự học và nghiên cứu của bạn:,14. Mức độ hài lòng với sự trợ giúp của ChatGPT trong việc giải đáp các câu hỏi học tập của bạn:,15. Nội dung chatGPT đưa ra có phù hợp với nội dung tìm kiếm của bạn không?,16. ChatGPT có khả năng truyền cảm hứng và tạo động lực trong việc học không?,17. ChatGPT có ảnh hưởng đến khả năng tư duy sáng tạo của bạn trong việc giải quyết vấn đề không?,18. ChatGPT có thể giúp bạn quản lý thời gian học hiệu quả hơn không?,19. ChatGPT có khả năng thay thế hoàn toàn vai trò của giáo viên trong quá trình học không?,20. Bạn nghĩ sinh viên dùng ChatGPT làm bài tập nhanh hơn bao nhiêu lần so với sinh viên không dùng ChatGPT?,21. Bạn cảm thấy ChatGPT gây phụ thuộc và ảnh hưởng tiêu cực đến khả năng tự học và phát triển bản thân hay không?,22. Bạn nghĩ khi dùng ChatGPT có khiến bạn trở nên lười học không ?,23. Bạn cảm thấy việc sử dụng ChatGPT có cải thiện việc học của bạn hay không?,24. Bạn có hài lòng về kết quả được cung cấp trên ChatGPT không?,"25. Bạn có hiểu bản chất, cách thức hoạt động của ChatGPT không?",26. ChatGPT đưa ra nội dung câu trả lời có phù hợp với hiểu biết của bạn không?,27. Giữa nội dung của google trả về và câu trả lời ChatGPT đưa ra bạn thích câu trả lời của ai hơn?,28. Bạn sẽ sử dụng ChatGPT cho công việc của bạn trong tương lai không?,29. Bạn có biết cách đặt câu hỏi với chatGPT không?,30. Nội dung mà ChatGPT đưa ra càng ngày càng thông minh bạn nghĩ thế nào về việc này?
03/06/2023 21:13,Nam,Năm 2,Đại học Y Dược TP.HCM (Ho Chi Minh City University of Medicine and Pharmacy),Không,4,< 0.15,,1,< 1 giờ,"Google.com, Youtube.com",1,2,2,2,2,2,Có,Có,Có,Không,2,2,Có,2,2,Không,2,3,Có,Có,nothing
03/06/2023 21:14,Nam,Năm 3,Đại học Sư phạm TP.HCM (Ho Chi Minh City University of Education),Có,4,> 0.45,> 0.45,5,1 - 2 giờ,"Wikipedia.org, Google.com, Google Scholar",2,4,5,3,3,3,Có,Không,Có,Không,4,3,Không,5,5,Có,3,3,Có,Có,Không có ý kiến
03/06/2023 21:19,Nữ,Năm 2,Đại học Kinh tế TP.HCM (Ho Chi Minh City University of Economics),Không,3,0.16 - 0.25,,4,2 - 3 giờ,"Google.com, Google Scholar",3,4,4,4,4,4,Có,Có,Không,Không,4,5,Có,3,4,Có,4,5,Có,Có,"Đem lại lượng thông tin rất tốt, tuy nhiên việc sử dụng chatGPT làm sinh viên chở nên thụ động và quá phụ thuộc, thiếu sáng tạo và tư duy"
03/06/2023 21:20,Nữ,Năm 2,Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology),Có,3,< 0.15,,5,2 - 3 giờ,"Google.com, Youtube.com",1,3,5,5,3,4,Không,Có,Có,Không,4,5,Có,3,3,Không,3,5,Có,Không,.
03/06/2023 21:25,Nam,Năm 3,Đại học Công nghiệp TP.HCM (Ho Chi Minh City University of Industry),Có,4,0.26 - 0.35,,3,1 - 2 giờ,"Wikipedia.org, Google.com, Youtube.com",1,4,4,3,5,5,Có,Có,Có,Không,3,3,Không,4,5,Có,5,5,Có,Có,Rất có ích cho việc tìm câu trả lời nhanh chóng nhưng đồng thời sẽ càng phụ thuộc vào nó
03/06/2023 21:27,Nam,Năm 2,Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology),Có,4,> 0.45,,5,> 3 giờ,Google.com,1,5,5,5,5,5,Có,Có,Có,Không,2,4,Có,5,5,Có,5,5,Có,Có,Trong tương lai có thể thay thế 1 vài vị trí công việc
03/06/2023 21:54,Nữ,Năm 2,Đại học Bách Khoa TP.HCM (Ho Chi Minh City University of Technology),Có,3,0.26 - 0.35,< 0.15,4,1 - 2 giờ,"Google.com, Youtube.com",2,3,3,3,3,3,Có,Có,Có,Có,3,3,Có,3,3,Có,3,3,Có,Có,không
04/06/2023 07:27,Nữ,Năm 2,Đại học Văn Lang (Van Lang University),Có,3,0.26 - 0.35,,3,< 1 giờ,"Wikipedia.org, Google.com",3,4,4,3,4,4,Không,Không,Không,Có,4,3,Không,4,4,Có,3,4,Không,Có,.
04/06/2023 07:49,Nữ,Năm 2,Đại học Văn Lang (Van Lang University),Không,3,> 0.45,,3,< 1 giờ,"Google.com, Youtube.com",3,3,3,3,3,3,Có,Có,Có,Không,4,5,Có,3,3,Có,4,4,Có,Không,Đấy là 1 bước khá là thông minh và cải tiến
04/06/2023 09:21,Nam,Năm 2,Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology),Có,3,0.36 - 0.45,,3,< 1 giờ,"Wikipedia.org, Google.com",3,3,3,4,2,3,Không,Không,Không,Không,3,3,Có,2,3,Có,4,2,Có,Có,Tôi nghĩ nó sẽ giúp con người học tập hiệu quả hơn
04/06/2023 09:26,Nam,Năm 2,Đại học Khoa học Tự nhiên TP.HCM (Ho Chi Minh City University of Science),Có,4,,,4,< 1 giờ,"Google.com, Google Scholar",2,3,4,2,4,4,Không,Không,Không,Không,5,3,Không,3,3,Có,4,4,Có,Có,Tiện lợi cho việc cung cấp thông tin chính xác
04/06/2023 09:28,Nam,Năm 2,Trường Đại học Kinh tế – Luật (University of Economics and Law (UEL),Không,3,> 0.45,,4,1 - 2 giờ,"Wikipedia.org, Google.com, Youtube.com, Google Scholar",2,3,3,3,3,3,Có,Không,Có,Không,3,2,Không,4,4,Có,4,1,Có,Có,.
04/06/2023 09:42,Nam,Năm 4,Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology),Không,3,< 0.15,< 0.15,1,< 1 giờ,"Google.com, Youtube.com",3,1,2,1,3,4,Không,Không,Không,Không,3,3,Không,4,4,Có,3,2,Có,Có,Tốt
04/06/2023 11:30,Nam,Năm 3,Đại học Kinh tế TP.HCM (Ho Chi Minh City University of Economics),Có,4,0.16 - 0.25,0.16 - 0.25,2,< 1 giờ,Google.com,2,1,1,2,4,4,Không,Có,Không,Không,3,3,Không,4,2,Có,3,2,Không,Có,Ok
04/06/2023 13:25,Nam,Năm 2,Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology),Có,3,> 0.45,> 0.45,5,> 3 giờ,"Youtube.com, Google Scholar",2,3,3,5,5,3,Không,Không,Có,Có,4,1,Có,3,3,Có,1,1,Không,Không,Điều này rất tốt
04/06/2023 16:59,Nam,Năm 1,Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology),Có,3,0.26 - 0.35,,3,1 - 2 giờ,"Wikipedia.org, Google.com, Youtube.com, Google Scholar, Khác",2,3,4,3,4,4,Có,Không,Không,Không,3,4,Có,4,4,Có,4,4,Có,Có,Tốt
04/06/2023 19:35,Nam,Năm 2,Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology),Có,4,,,2,< 1 giờ,"Wikipedia.org, Google.com, Youtube.com",2,3,3,3,3,3,Không,Không,Không,Không,3,3,Không,3,3,Không,3,3,Không,Không,goihoihoijoljio
05/06/2023 11:50,Nam,Năm 2,Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology),Có,3,> 0.45,,4,1 - 2 giờ,"Google.com, Youtube.com",3,4,4,4,3,4,Có,Có,Có,Không,4,5,Không,4,4,Có,4,5,Không,Có,Không rõ
05/06/2023 11:56,Nam,Năm 2,Đại học Công nghệ Thông tin TP.HCM (Ho Chi Minh City University of Information Technology),Có,3,> 0.45,,5,1 - 2 giờ,"Google.com, Youtube.com",3,5,4,3,5,5,Có,Có,Có,Có,5,5,Không,5,5,Có,3,5,Không,Có,ChatGPT vẫn còn được phát triển
05/06/2023 20:07,Nam,Năm 2,Đại học Kinh tế TP.HCM (Ho Chi Minh City University of Economics),Có,1,0.16 - 0.25,0.16 - 0.25,1,1 - 2 giờ,Google.com,2,4,4,3,2,4,Có,Không,Không,Không,4,3,Có,4,3,Có,4,4,Có,Có,Không biết
05/06/2023 20:09,Nam,Năm 3,Đại học Kiến trúc TP.HCM (Ho Chi Minh City University of Architecture),Không,4,0.36 - 0.45,> 0.45,5,> 3 giờ,Google.com,3,2,4,4,5,4,Có,Không,Không,Không,5,4,Không,4,5,Có,4,4,Không,Có,Rất tuyệt vời
05/06/2023 20:10,Nam,Năm 4,Đại học Kiến trúc TP.HCM (Ho Chi Minh City University of Architecture),Có,4,0.26 - 0.35,0.26 - 0.35,4,1 - 2 giờ,"Youtube.com, Google Scholar",3,5,2,2,5,2,Có,Có,Không,Có,4,2,Không,5,3,Có,5,5,Có,Có,kh biết
05/06/2023 20:13,Nữ,Năm 4,Đại học Khoa học Xã hội và Nhân văn TP.HCM (Ho Chi Minh City University of Social Sciences and Humanities),Không,4,,0.36 - 0.45,5,> 3 giờ,Google Scholar,3,5,5,2,4,2,Không,Có,Không,Có,3,3,Không,4,5,Không,4,3,Có,Có,Ngon
05/06/2023 20:14,Khác,Năm 3,Đại học Luật TP.HCM (Ho Chi Minh City University of Law),Có,3,0.36 - 0.45,< 0.15,2,2 - 3 giờ,Google Scholar,2,4,4,4,4,5,Không,Không,Không,Có,4,4,Không,3,4,Không,2,3,Không,Không,Tôi nghĩ nó giúp sinh viên phát triển
05/06/2023 20:15,Nam,Năm 4,Đại học Luật TP.HCM (Ho Chi Minh City University of Law),Không,2,0.36 - 0.45,< 0.15,3,2 - 3 giờ,Khác,3,4,4,3,1,4,Không,Có,Không,Không,4,5,Không,3,4,Không,3,3,Có,Có,Thay thế gg
05/06/2023 20:16,Nữ,Năm 4,Đại học Khoa học Tự nhiên TP.HCM (Ho Chi Minh City University of Science),Có,2,< 0.15,0.36 - 0.45,3,< 1 giờ,"Wikipedia.org, Google.com, Youtube.com",2,3,5,1,1,1,Có,Có,Không,Không,2,3,Có,2,4,Có,2,3,Không,Không,Tôi thấy bình thường
05/06/2023 20:17,Nam,Năm 3,Đại học Sư phạm TP.HCM (Ho Chi Minh City University of Education),Có,1,< 0.15,> 0.45,1,2 - 3 giờ,"Wikipedia.org, Youtube.com",2,3,1,1,2,3,Có,Có,Có,Có,4,3,Có,1,2,Có,3,5,Không,Có,Sinh viên yêu thích điều này vì nó hỗ trợ rất nhiều cho sinh viên
05/06/2023 20:18,Nữ,Năm 3,Đại học Khoa học Tự nhiên TP.HCM (Ho Chi Minh City University of Science),Không,3,0.36 - 0.45,< 0.15,2,2 - 3 giờ,Khác,1,3,1,2,4,1,Có,Có,Không,Có,4,1,Không,2,3,Không,4,4,Có,Không,cung cấp thông tin hữu ích
05/06/2023 20:21,Nam,Năm 4,Đại học Sư phạm TP.HCM (Ho Chi Minh City University of Education),Không,2,0.16 - 0.25,0.26 - 0.35,1,1 - 2 giờ,Google.com,2,4,2,2,3,5,Không,Không,Có,Có,3,4,Không,5,5,Có,1,4,Có,có,Kh biết
05/06/2023 20:21,Nữ,Năm 4,Đại học Kinh tế TP.HCM (Ho Chi Minh City University of Economics),Có,3,< 0.15,0.26 - 0.35,3,2 - 3 giờ,"Wikipedia.org, Youtube.com",1,4,4,2,4,3,Có,Có,Không,Không,2,2,Không,1,2,Không,1,1,Không,Không,GPT giúp mình tán gái
05/06/2023 20:22,Nữ,Năm 4,Đại học Khoa học Xã hội và Nhân văn TP.HCM (Ho Chi Minh City University of Social Sciences and Humanities),Có,3,< 0.15,0.26 - 0.35,4,1 - 2 giờ,"Wikipedia.org, Google.com",2,1,4,1,3,3,Không,Không,Có,Có,1,2,Có,3,4,Không,3,5,Có,có,10d
05/06/2023 20:23,Nam,Năm 4,Đại học Bách Khoa TP.HCM (Ho Chi Minh City University of Technology),Không,1,< 0.15,0.36 - 0.45,2,< 1 giờ,"Wikipedia.org, Youtube.com",2,4,4,3,3,1,Không,Không,Có,Có,3,1,Có,3,2,Có,2,4,Không,Không,10d
05/06/2023 20:24,Nam,Năm 2,Đại học Công nghệ Thực phẩm TP.HCM (Ho Chi Minh City University of Food Industry),Có,1,< 0.15,0.36 - 0.45,2,1 - 2 giờ,Youtube.com,2,3,5,1,4,3,Không,Không,Không,Không,2,2,Không,1,3,Không,3,1,Không,Có,Rất hữu ích
05/06/2023 20:25,Nam,Năm 2,Đại học Bách Khoa TP.HCM (Ho Chi Minh City University of Technology),Có,2,0.36 - 0.45,< 0.15,1,2 - 3 giờ,Google.com,3,2,3,1,4,4,Có,Có,Có,Có,4,2,Có,2,3,Có,4,1,Không,Không,Tôi thấy bình thường
05/06/2023 20:26,Nam,Năm 4,Đại học Luật TP.HCM (Ho Chi Minh City University of Law),Không,4,0.26 - 0.35,0.26 - 0.35,2,1 - 2 giờ,"Wikipedia.org, Google Scholar",1,1,2,1,4,4,Không,Có,Có,Không,2,1,Có,1,3,Không,4,3,Không,Không,Thông minh lên thì con người sẽ hưởng lợi
05/06/2023 20:27,Nữ,Năm 1,Đại học Y Dược TP.HCM (Ho Chi Minh City University of Medicine and Pharmacy),Có,4,0.26 - 0.35,,1,< 1 giờ,Google.com,3,3,3,2,2,1,Không,Có,Có,Không,3,4,Có,2,2,Có,2,2,Có,Không,No sẽ khiến thất nghiệp hàng loạt và khủng hoảng kinh tế
05/06/2023 20:27,Nam,Năm 3,Đại học Khoa học Xã hội và Nhân văn TP.HCM (Ho Chi Minh City University of Social Sciences and Humanities),Không,3,0.26 - 0.35,0.26 - 0.35,1,> 3 giờ,Google.com,2,4,3,2,4,4,Không,Có,Không,Không,1,5,Có,4,4,Không,4,3,Không,Có,Không ảnh hưởng gì
05/06/2023 20:28,Nam,Năm 1,Đại học Ngoại thương TP.HCM (Ho Chi Minh City University of Foreign Trade),Có,4,> 0.45,,3,1 - 2 giờ,"Google.com, Youtube.com, Google Scholar",1,4,4,3,4,3,Có,Có,Có,Không,4,5,Không,4,5,Có,5,4,Có,Có,Không
05/06/2023 20:31,Nữ,Năm 2,Đại học Bách Khoa TP.HCM (Ho Chi Minh City University of Technology),Có,4,> 0.45,,5,1 - 2 giờ,Google.com,3,5,5,5,5,5,Không,Không,Có,Có,4,4,Có,4,4,Có,4,4,Có,Không,Yes
05/06/2023 20:31,Nam,Năm 4,Đại học Sư phạm TP.HCM (Ho Chi Minh City University of Education),Không,2,0.26 - 0.35,0.26 - 0.35,3,2 - 3 giờ,"Wikipedia.org, Google Scholar",2,3,2,4,5,3,Có,Không,Không,Không,3,1,Có,4,1,Có,5,4,Có,Có,không
05/06/2023 20:32,Nam,Năm 4,Đại học Bách Khoa TP.HCM (Ho Chi Minh City University of Technology),Có,1,,0.36 - 0.45,2,2 - 3 giờ,Youtube.com,3,2,2,2,2,3,Có,Không,Có,Không,4,3,Có,4,1,Có,3,4,Không,Có,Tôi học toán dỡ GPT đã giúp tôi rất nhiều
05/06/2023 20:32,Nam,Năm 3,Đại học Tài chính - Marketing TP.HCM (Ho Chi Minh City University of Finance and Marketing),Có,3,0.26 - 0.35,,4,2 - 3 giờ,Google.com,2,3,3,3,3,3,Có,Có,Có,Có,3,3,Có,3,3,Có,3,3,Có,Có,Ok
05/06/2023 20:33,Nam,Năm 2,Đại học Ngoại thương TP.HCM (Ho Chi Minh City University of Foreign Trade),Có,2,0.26 - 0.35,0.26 - 0.35,4,2 - 3 giờ,Google.com,2,3,2,3,3,3,Có,Có,Có,Có,3,3,Có,3,2,Có,3,3,Có,Có,Dù có nó hay không cũng phải đi kiếm tiền
05/06/2023 20:33,Nữ,Năm 4,Đại học Sài Gòn (Saigon University),Có,1,< 0.15,0.36 - 0.45,1,2 - 3 giờ,Youtube.com,2,3,2,1,2,2,Có,Có,Có,Có,4,2,Có,3,3,Có,2,5,Có,Có,Good
05/06/2023 20:34,Nam,Năm 3,Đại học Công nghệ Hóa học TP.HCM (Ho Chi Minh City University of Technology and Chemistry),Có,1,0.36 - 0.45,< 0.15,1,2 - 3 giờ,Google Scholar,1,2,2,1,2,3,Không,Có,Không,Có,1,3,Không,3,4,Có,1,1,Có,Không,Nó rất ngu
05/06/2023 20:34,Nam,Năm 3,Đại học Kinh tế TP.HCM (Ho Chi Minh City University of Economics),Có,1,,< 0.15,2,< 1 giờ,Google.com,2,3,3,1,1,1,Có,Có,Có,Có,3,3,Có,2,2,Có,2,3,Có,Có,Kh ảnh hưởng gì
05/06/2023 20:34,Nữ,Năm 3,Đại học Bách Khoa TP.HCM (Ho Chi Minh City University of Technology),Có,1,< 0.15,0.36 - 0.45,1,1 - 2 giờ,Youtube.com,1,3,2,1,1,4,Có,Có,Không,Có,3,3,Không,2,3,Có,3,3,Có,Có,.
05/06/2023 20:35,Nữ,Năm 2,Đại học Khoa học Tự nhiên TP.HCM (Ho Chi Minh City University of Science),Có,2,0.16 - 0.25,,4,1 - 2 giờ,"Google.com, Google Scholar",2,5,5,5,5,5,Có,Có,Có,Có,4,4,Có,4,4,Có,3,3,Có,Có,HAhaa
05/06/2023 20:36,Nam,Năm 2,Đại học Bách Khoa TP.HCM (Ho Chi Minh City University of Technology),Có,3,0.26 - 0.35,,4,2 - 3 giờ,Google.com,2,3,3,2,4,4,Có,Có,Có,Có,4,4,Có,4,4,Có,3,3,Có,Có,GPT đã giúp mình qua nhiều môn nó thật sự tốt
05/06/2023 20:37,Nam,Năm 4,Đại học Kiến trúc TP.HCM (Ho Chi Minh City University of Architecture),Có,1,0.26 - 0.35,< 0.15,2,1 - 2 giờ,Google.com,1,3,4,2,3,2,Không,Có,Có,Không,2,5,Có,2,3,Không,3,2,Có,Không,Tôi thấy nội dung GPT không có nguồn mặc dù nó trả lời rất hay nhưng quy chung lại là không nên quá phụ thuộc vào nó
05/06/2023 20:38,Nam,Năm 2,Đại học Bách Khoa TP.HCM (Ho Chi Minh City University of Technology),Có,2,0.16 - 0.25,,3,1 - 2 giờ,Google.com,1,1,1,3,3,3,Có,Có,Có,Có,3,3,Có,3,3,Có,5,3,Có,Có,GPT càng thông minh có thể làm con người thất nghiệp
05/06/2023 20:38,Nam,Năm 2,Đại học Kinh tế TP.HCM (Ho Chi Minh City University of Economics),Không,2,,0.36 - 0.45,1,< 1 giờ,Google.com,1,4,3,5,4,1,Có,Có,Có,Không,1,2,Có,4,2,Có,2,3,Không,Có,Nó thông minh nhưng không có tiền mua bảng pluss huhu
05/06/2023 20:39,Nam,Năm 2,Đại học Y Dược TP.HCM (Ho Chi Minh City University of Medicine and Pharmacy),Có,2,0.26 - 0.35,,2,< 1 giờ,Google.com,2,3,3,3,3,3,Có,Có,Có,Có,3,3,Có,3,3,Có,3,3,Có,Có,Nó không có hiển thị ảnh hơi tiết nhưng nó rất thông minh
05/06/2023 20:39,Nam,Năm 3,Đại học Bách Khoa TP.HCM (Ho Chi Minh City University of Technology),Có,2,0.26 - 0.35,0.26 - 0.35,4,1 - 2 giờ,Google.com,3,3,2,1,1,4,Không,Có,Có,Không,1,1,Có,3,1,Có,4,1,Có,Có,Thơm giòn béo ngậy
05/06/2023 20:40,Nữ,Năm 3,Đại học Kiến trúc TP.HCM (Ho Chi Minh City University of Architecture),Có,4,,0.16 - 0.25,4,1 - 2 giờ,"Google.com, Google Scholar",3,4,3,5,4,4,Có,Có,Có,Có,5,5,Có,5,5,Có,5,4,Có,Có,Có
05/06/2023 20:40,Nam,Năm 2,Đại học Y Dược TP.HCM (Ho Chi Minh City University of Medicine and Pharmacy),Có,2,0.16 - 0.25,,3,< 1 giờ,Google.com,2,3,3,2,2,2,Có,Có,Có,Có,3,3,Có,3,2,Có,3,3,Có,Có,Hài lòng level max
05/06/2023 20:40,Khác,Năm 4,Đại học Khoa học Tự nhiên TP.HCM (Ho Chi Minh City University of Science),Không,2,< 0.15,0.36 - 0.45,3,1 - 2 giờ,Google Scholar,1,1,3,1,3,1,Có,Có,Có,Không,3,1,Có,3,3,Có,5,2,Có,Không,.
05/06/2023 20:41,Nam,Năm 3,Đại học Khoa học Tự nhiên TP.HCM (Ho Chi Minh City University of Science),Có,1,< 0.15,,1,< 1 giờ,Wikipedia.org,1,1,1,1,1,1,Có,Có,Có,Có,3,3,Có,3,3,Có,3,3,Có,Có,ok
05/06/2023 20:41,Nam,Năm 4,Đại học Khoa học Xã hội và Nhân văn TP.HCM (Ho Chi Minh City University of Social Sciences and Humanities),Có,1,0.16 - 0.25,0.26 - 0.35,1,1 - 2 giờ,Youtube.com,2,3,2,1,3,3,Có,Không,Không,Không,4,4,Không,5,3,Có,4,2,Không,Không,Sao cũng được
05/06/2023 20:42,Nam,Năm 1,Đại học Khoa học Tự nhiên TP.HCM (Ho Chi Minh City University of Science),Có,1,0.26 - 0.35,< 0.15,5,2 - 3 giờ,Google Scholar,1,4,3,1,3,4,Có,Không,Có,Có,1,3,Không,2,3,Có,2,2,Có,Có,Nếu GPT càng thông minh lên tôi sẽ kiếm được nhiều tiền từ nó vậy cứ để nó thông minh lên hehe
